venue,date_post,id,author,length,first,idpauthor,intervention_flag,date_idx
/r/Incels,2017-07-11,2039,462,142.74252084355075,90,4.413419913419913,0,-119
/r/Incels,2017-07-13,1297,257,130.97764070932922,26,5.046692607003891,0,-117
/r/Incels,2017-07-14,2712,545,138.39712389380531,128,4.9761467889908255,0,-116
/r/Incels,2017-07-15,2489,527,137.7372438730414,105,4.722960151802656,0,-115
/r/Incels,2017-07-16,3034,567,155.71654581410678,149,5.350970017636684,0,-114
/r/Incels,2017-07-17,3444,616,141.95296167247386,144,5.590909090909091,0,-113
/r/Incels,2017-07-18,3711,634,154.12611156022635,149,5.853312302839116,0,-112
/r/Incels,2017-07-19,3250,589,146.76,98,5.517826825127335,0,-111
/r/Incels,2017-07-20,2868,536,144.36436541143655,86,5.350746268656716,0,-110
/r/Incels,2017-07-21,2916,586,135.20919067215362,120,4.976109215017065,0,-109
/r/Incels,2017-07-22,2795,561,151.05330948121644,99,4.982174688057041,0,-108
/r/Incels,2017-07-23,465,151,139.68172043010753,15,3.0794701986754967,0,-107
/r/Incels,2017-08-01,1142,161,124.8292469352014,8,7.093167701863354,0,-98
/r/Incels,2017-08-05,1071,149,132.79551820728292,1,7.1879194630872485,0,-94
/r/Incels,2017-08-07,1127,172,115.77551020408163,1,6.5523255813953485,0,-92
/r/Incels,2017-08-08,1075,171,124.03627906976745,2,6.286549707602339,0,-91
/r/Incels,2017-08-09,3436,614,133.5861466821886,230,5.596091205211726,0,-90
/r/Incels,2017-08-10,2250,582,149.52177777777777,172,3.865979381443299,0,-89
/r/Incels,2017-08-11,2738,597,136.527392257122,175,4.586264656616415,0,-88
/r/Incels,2017-08-12,2838,551,144.1198026779422,123,5.150635208711433,0,-87
/r/Incels,2017-08-13,3088,664,147.73413212435233,199,4.650602409638554,0,-86
/r/Incels,2017-08-14,1675,337,135.43701492537315,42,4.970326409495549,0,-85
/r/Incels,2017-08-15,3772,726,143.70015906680806,219,5.195592286501378,0,-84
/r/Incels,2017-08-16,3292,701,143.98207776427702,183,4.696148359486448,0,-83
/r/Incels,2017-08-17,3513,782,154.22744093367493,246,4.4923273657289,0,-82
/r/Incels,2017-08-18,3636,719,158.89906490649065,190,5.057023643949931,0,-81
/r/Incels,2017-08-19,2495,496,145.574749498998,102,5.030241935483871,0,-80
