num_posts,SEVERE_TOXICITY,SEVERE_TOXICITY80p,fixation_dict_incels,fixation_dict_td,fixation_dict_gc,NegativeEmotion,CoreHostility,We,They,length,count_repeated,kind,ptile
1,1.2535538000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,2,before,1
8,75.119,0.0,0.0,0.0,0.425531914893617,2.127659574468085,2.9787234042553195,0.851063829787234,1.702127659574468,146.5,235,before,3
77,64.43161400000001,0.0,0.0,0.0,0.641785150078989,1.8661137440758293,3.3570300157977884,0.8096366508688783,2.320300157977883,682.0,10128,before,4
7,30.860581999999997,0.0,0.0,0.0,0.0,1.4760147601476015,1.107011070110701,0.12300123001230012,1.7220172201722017,335.0,813,before,2
1,44.91301,0.0,0.0,0.0,0.0,0.0,5.660377358490567,0.0,1.8867924528301887,261.0,53,before,1
15,76.04943,0.0,0.0,0.0,0.09267840593141798,2.9657089898053752,3.7998146431881374,0.46339202965708987,1.2048192771084338,137.0,1079,before,3
1,1.9821376000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,17.0,4,before,1
1,7.679474999999999,0.0,0.0,0.0,0.0,3.8461538461538463,3.8461538461538463,0.0,7.6923076923076925,168.0,26,before,1
2,7.7386774,0.0,0.0,0.0,0.0,2.941176470588235,2.941176470588235,0.0,0.0,99.0,34,before,2
1,4.6858273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,3,before,1
1,24.336219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,10,before,1
1,22.151461,0.0,0.0,0.0,7.142857142857142,0.0,0.0,0.0,0.0,81.0,14,before,1
1,1.5077359000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1,before,1
3,29.056359999999998,0.0,0.0,0.0,0.0,4.2105263157894735,5.263157894736842,1.0526315789473684,1.0526315789473684,129.0,95,before,2
11,38.240215,0.0,0.0,0.0,0.0,2.73972602739726,2.3972602739726026,1.7123287671232876,2.73972602739726,67.0,292,before,3
2,20.65108,0.0,0.0,0.0,0.7299270072992701,0.0,0.0,0.0,1.4598540145985401,392.5,137,before,2
1,65.04828,0.0,0.0,0.0,0.0,2.1739130434782608,6.521739130434782,0.0,0.0,246.0,46,before,1
2,18.701102,0.0,0.0,0.0,1.141352063213345,0.9657594381035997,1.3169446883230904,0.0,1.3169446883230904,3191.0,1139,before,2
4,26.538074,0.0,0.0,0.0,0.7751937984496124,2.3255813953488373,2.3255813953488373,0.7751937984496124,1.550387596899225,161.0,129,before,2
1,4.2097487000000005,0.0,0.0,0.0,3.225806451612903,0.0,0.0,0.0,3.225806451612903,174.0,31,before,1
